User_id,Game,Hours-played,Game_id,Game_genre,Game_category,Game_playtime,Game_positive_votes,rating
151603712,The Elder Scrolls V Skyrim,273.0,72850,violent,no_multiplayer,more,positive,5
151603712,Fallout 4,87.0,377160,violent,no_multiplayer,more,positive,4
151603712,Fallout New Vegas,12.1,22380,violent,multiplayer,more,positive,3
151603712,Left 4 Dead 2,8.9,550,action,multiplayer,more,positive,2
151603712,HuniePop,8.5,339800,violent,no_multiplayer,more,positive,2
151603712,Path of Exile,8.1,238960,violent,multiplayer,more,positive,2
151603712,Poly Bridge,7.5,367450,action,multiplayer,more,positive,2
151603712,Left 4 Dead,3.3,500,action,multiplayer,more,positive,2
151603712,Team Fortress 2,2.8,440,action,multiplayer,more,positive,2
151603712,The Banner Saga,2.0,237990,violent,no_multiplayer,more,positive,2
151603712,BioShock Infinite,1.3,8870,action,no_multiplayer,more,positive,1
151603712,Dragon Age Origins - Ultimate Edition,1.3,47810,violent,no_multiplayer,more,positive,1
151603712,Grand Theft Auto IV,0.6,12210,action,multiplayer,more,positive,1
151603712,Realm of the Mad God,0.5,200210,violent,multiplayer,more,positive,1
151603712,Eldevin,0.5,298160,violent,multiplayer,less,positive,1
151603712,Dota 2,0.5,570,action,multiplayer,more,positive,1
151603712,Robocraft,0.4,301520,violent,multiplayer,more,positive,1
151603712,Garry's Mod,0.1,4000,action,multiplayer,more,positive,1
187131847,Dota 2,2.3,570,action,multiplayer,more,positive,2
59945701,Ultra Street Fighter IV,238.0,45760,action,multiplayer,more,positive,5
59945701,FINAL FANTASY XIII,84.0,292120,violent,no_multiplayer,more,positive,4
59945701,The Elder Scrolls V Skyrim,58.0,72850,violent,no_multiplayer,more,positive,4
59945701,Sid Meier's Civilization V,22.0,8930,action,multiplayer,more,positive,3
59945701,L.A. Noire,13.8,110800,action,no_multiplayer,more,positive,3
59945701,Company of Heroes Tales of Valor,10.2,20540,action,multiplayer,more,positive,3
59945701,7 Days to Die,7.8,251570,violent,multiplayer,more,positive,2
59945701,Divekick,7.0,244730,action,multiplayer,more,positive,2
59945701,FINAL FANTASY VII,5.2,39140,violent,no_multiplayer,more,positive,2
59945701,Orcs Must Die! 2,4.8,201790,action,multiplayer,more,positive,2
59945701,Killing Floor,3.4,1250,action,multiplayer,more,positive,2
59945701,Company of Heroes,3.2,228200,violent,multiplayer,more,positive,2
59945701,Bastion,2.8,107100,violent,multiplayer,more,positive,2
59945701,Undertale,2.6,391540,violent,no_multiplayer,more,positive,2
59945701,Counter-Strike Global Offensive,2.3,730,action,multiplayer,more,positive,2
59945701,Orcs Must Die!,0.7,102600,action,multiplayer,more,positive,1
59945701,THE KING OF FIGHTERS XIII STEAM EDITION,0.6,222940,action,multiplayer,more,positive,1
59945701,GUILTY GEAR XX ACCENT CORE PLUS R,0.5,348550,action,multiplayer,less,positive,1
59945701,Skullgirls,0.4,245170,action,multiplayer,more,positive,1
59945701,Company of Heroes Opposing Fronts,0.1,9340,action,multiplayer,less,positive,1
59945701,Team Fortress 2,0.1,440,action,multiplayer,more,positive,1
53875128,Grand Theft Auto V,86.0,271590,action,multiplayer,more,positive,4
53875128,Insurgency,72.0,222880,action,multiplayer,more,positive,4
53875128,Left 4 Dead 2,71.0,550,action,multiplayer,more,positive,4
53875128,METAL GEAR SOLID V THE PHANTOM PAIN,59.0,287700,action,multiplayer,more,positive,4
53875128,S.T.A.L.K.E.R. Shadow of Chernobyl,54.0,4500,violent,multiplayer,more,positive,4
53875128,S.T.A.L.K.E.R. Call of Pripyat,50.0,41700,violent,multiplayer,more,positive,4
53875128,Saints Row The Third,35.0,55230,action,multiplayer,more,positive,3
53875128,Far Cry 3,35.0,220240,action,multiplayer,more,positive,3
53875128,S.T.A.L.K.E.R. Clear Sky,35.0,20510,violent,multiplayer,more,positive,3
53875128,Rocket League,34.0,252950,sports_racing,multiplayer,more,positive,3
53875128,Far Cry 4,32.0,298110,action,multiplayer,more,positive,3
53875128,Prototype,25.0,10150,action,no_multiplayer,more,positive,3
53875128,Space Pirates and Zombies,24.0,107200,violent,no_multiplayer,more,positive,3
53875128,Dying Light,23.0,239140,violent,multiplayer,more,positive,3
53875128,Just Cause 2,23.0,8190,action,no_multiplayer,more,positive,3
53875128,Mirror's Edge,23.0,17410,action,no_multiplayer,more,positive,3
53875128,Mad Max,22.0,234140,action,no_multiplayer,more,positive,3
53875128,Portal 2,21.0,620,action,multiplayer,more,positive,3
53875128,RUNNING WITH RIFLES,18.5,270150,action,multiplayer,less,positive,3
53875128,Deus Ex Human Revolution - Director's Cut,18.3,238010,violent,multiplayer,more,positive,3
53875128,Tropico 4,14.3,57690,action,no_multiplayer,more,positive,3
53875128,Cave Story+,13.7,200900,action,no_multiplayer,more,positive,3
53875128,Dust An Elysian Tail,13.4,236090,violent,no_multiplayer,more,positive,3
53875128,F.E.A.R.,12.5,21090,action,no_multiplayer,more,positive,3
53875128,South Park The Stick of Truth,12.2,213670,violent,no_multiplayer,more,positive,3
